device_type,source_mib_object,source_value,source_meaning,nsp_severity,nsp_probable_cause,service_affecting,confidence,notes
switch,"ml540mErpsStatusProtectionState (VTSSErpsProtectionState, ML540M-ERPS-MIB)",none(1) / idle(2),"Normal (no ring / ring healthy, RPL blocked as designed)",Cleared,n/a,n/a,"confirmed for source_value; nsp_severity mapping is a reasonable default, not NSP-confirmed",Steady-state -- not a fault.
switch,"ml540mEpsStatusProtectionState (VTSSEpsProtectionState, ML540M-EPS-MIB)",signalFailWorking(5) / signalFailProtecting(6),Signal fail on working or protecting flow,Major,EPS Protection Switch -- Signal Fail,yes,"confirmed for source_value; nsp_severity mapping is a reasonable default, not NSP-confirmed",G.8031 1+1/1:1 linear protection has switched due to a real signal failure on one flow.
switch,"ml540mEpsStatusProtectionState (VTSSEpsProtectionState, ML540M-EPS-MIB)",lockOut(3) / forcedSwitch(4) / manualSwitchWorking(7) / manualSwitchProtecting(8) / doNotRevert(14),Operator-forced EPS state,Warning,EPS Manually Forced / Locked Out,no,"confirmed for source_value; nsp_severity mapping is a reasonable default, not NSP-confirmed","Deliberate operator action (or a lock-out preventing autonomous protection), not a device fault by itself -- but doNotRevert/lockOut left in place means a subsequent real failure won't be protected."
switch,"ml540mEpsStatusProtectionState (VTSSEpsProtectionState, ML540M-EPS-MIB)",waitToRestore(9) / exerciseWorking(10) / exerciseProtecting(11) / reverseRequestWorking(12) / reverseRequestProtecting(13),EPS transitional/test state,Indeterminate,EPS State Transitioning,no,"confirmed for source_value; nsp_severity mapping is a reasonable default, not NSP-confirmed",Transient -- re-poll.
switch,"ml540mEpsStatusProtectionState (VTSSEpsProtectionState, ML540M-EPS-MIB)",noRequestWorking(1) / noRequestProtecting(2),"Normal, no active request",Cleared,n/a,n/a,"confirmed for source_value; nsp_severity mapping is a reasonable default, not NSP-confirmed",Steady-state -- not a fault.
switch,"ml540mEpsStatusWorkingState / ml540mEpsStatusProtectingState (VTSSEpsDefectState, ML540M-EPS-MIB)",sf(2),Signal fail on this specific flow (working or protecting),Major,EPS Flow Signal Fail,yes,"confirmed for source_value; nsp_severity mapping is a reasonable default, not NSP-confirmed",Per-flow defect state underlying the protection-state transition above.
switch,"ml540mEpsStatusWorkingState / ml540mEpsStatusProtectingState (VTSSEpsDefectState, ML540M-EPS-MIB)",sd(1),Signal degrade on this specific flow,Minor,EPS Flow Signal Degrade,no,"confirmed for source_value; nsp_severity mapping is a reasonable default, not NSP-confirmed",Below signal-fail threshold but degraded -- worth surfacing before it becomes a full sf(2).
switch,"ml540mEpsStatusDfopPm (TruthValue, ML540M-EPS-MIB)",TRUE,FOP Protection-type mismatch (unexpected B bit),Major,EPS Protocol Failure -- Protection Type Mismatch,no,"confirmed for source_value; nsp_severity mapping is a reasonable default, not NSP-confirmed",APS protocol-level fault; ring/flow itself may still be up.
switch,"ml540mEpsStatusDfopCm (TruthValue, ML540M-EPS-MIB)",TRUE,FOP Configuration mismatch (APS received on working),Major,EPS Protocol Failure -- Configuration Mismatch,no,"confirmed for source_value; nsp_severity mapping is a reasonable default, not NSP-confirmed",
switch,"ml540mEpsStatusDfopNr (TruthValue, ML540M-EPS-MIB)",TRUE,FOP Not-expected-Request (received request != transmitted),Major,EPS Protocol Failure -- Unexpected Request,no,"confirmed for source_value; nsp_severity mapping is a reasonable default, not NSP-confirmed",
switch,"ml540mEpsStatusDfopNoAps (TruthValue, ML540M-EPS-MIB)",TRUE,FOP No APS received,Major,EPS Protocol Failure -- No APS Received,no,"confirmed for source_value; nsp_severity mapping is a reasonable default, not NSP-confirmed",APS keepalive missing -- protection state can't be trusted until it clears.
switch,"ml540mMstpStatusBridgeTopologyChange (TruthValue, ML540M-MSTP-MIB)",TRUE,MSTP topology change flag currently set,Warning,Spanning Tree Topology Change,transient (brief flooding/relearning while MAC tables converge),"confirmed for source_value; nsp_severity mapping is a reasonable default, not NSP-confirmed","Informational/transient rather than a persistent fault -- pairs with ml540mMstpStatusBridgeTopologyChangeCount for trending (frequent flapping is the actual problem worth alarming on, not a single change)."
switch,"ml540mLoopProtectionStatusInterfaceLoopDetected (TruthValue, ML540M-LOOP-PROTECTION-MIB)",TRUE,Loop detected on this port,Major,Ethernet Loop Detected,yes,"confirmed for source_value; nsp_severity mapping is a reasonable default, not NSP-confirmed",Real risk of a broadcast storm -- the device's own configured action (ml540mLoopProtectionConfigInterfaceParamAction) may already shut the port; ml540mPsecStatusPortShutdown below is the general-purpose version of that outcome.
switch,"ml540mPsecStatusPortShutdown (TruthValue, ML540M-PSEC-MIB)",TRUE,Port shut down by port security,Major,Port Security Violation -- Port Shutdown,yes,"confirmed for source_value; nsp_severity mapping is a reasonable default, not NSP-confirmed",Port is down as a direct consequence -- treat like any other link-down condition.
switch,"ml540mPsecStatusPortLimitReached (TruthValue, ML540M-PSEC-MIB)",TRUE,MAC address limit reached on port,Warning,Port Security -- MAC Limit Reached,no,"confirmed for source_value; nsp_severity mapping is a reasonable default, not NSP-confirmed",Port still forwarding for already-learned MACs; new MACs are being rejected. Precursor to Shutdown if the configured action escalates.
switch,"ml540mMepStatusInstanceCssf (TruthValue, ML540M-MEP-MIB)",TRUE,SSF (Server Signal Fail) state,Major,CFM Server Signal Fail,yes,"confirmed for source_value; nsp_severity mapping is a reasonable default, not NSP-confirmed",
switch,"ml540mMepStatusInstanceCais (TruthValue, ML540M-MEP-MIB)",TRUE,AIS (Alarm Indication Signal) received,Major,CFM AIS Received,yes,"confirmed for source_value; nsp_severity mapping is a reasonable default, not NSP-confirmed","Upstream fault being propagated downstream via AIS -- the root cause is elsewhere in the network, not necessarily this device."
switch,"ml540mMepStatusInstanceClck (TruthValue, ML540M-MEP-MIB)",TRUE,LCK (locked signal) received,Warning,CFM Locked Signal Received,yes,"confirmed for source_value; nsp_severity mapping is a reasonable default, not NSP-confirmed","Maintenance action upstream (link intentionally locked), not necessarily an unplanned fault."
switch,"ml540mMepStatusInstanceCloop (TruthValue, ML540M-MEP-MIB)",TRUE,Loop detected (CCM received with own MEP ID/SMAC),Major,CFM Loop Detected,yes,"confirmed for source_value; nsp_severity mapping is a reasonable default, not NSP-confirmed",
switch,"ml540mMepStatusInstanceCconfig (TruthValue, ML540M-MEP-MIB)",TRUE,Configuration error (CCM received with own MEP ID),Major,CFM Configuration Error,no,"confirmed for source_value; nsp_severity mapping is a reasonable default, not NSP-confirmed","Misconfiguration (duplicate MEP ID), not a live traffic fault by itself, but blocks reliable CFM monitoring until fixed."
switch,"ml540mMepStatusInstanceCdeg (TruthValue, ML540M-MEP-MIB)",TRUE,Signal degraded,Minor,CFM Signal Degrade,no,"confirmed for source_value; nsp_severity mapping is a reasonable default, not NSP-confirmed","Below signal-fail threshold -- an early-warning signal, not yet a hard failure."
switch,"ml540mMepStatusInstancePeerCloc (TruthValue, ML540M-MEP-MIB)",TRUE,CCM Loss Of Continuity from peer MEP,Major,CFM Loss of Continuity (Peer),yes,"confirmed for source_value; nsp_severity mapping is a reasonable default, not NSP-confirmed","Peer stopped sending CCMs -- classic CFM connectivity-fault signal, the modem-side equivalent of a link-down."
switch,"ml540mMepStatusInstancePeerCrdi (TruthValue, ML540M-MEP-MIB)",TRUE,CCM Remote Defect Indication from peer MEP,Warning,CFM Remote Defect Indication,no,"confirmed for source_value; nsp_severity mapping is a reasonable default, not NSP-confirmed","Peer is reporting ITS OWN defect to us via RDI -- the fault is at (or beyond) the peer, not necessarily on this device's own facing link."
